idno,ppltrst,happy,cgtsday,alcfreq,height,weight,gndr,yrbrn
924561,8,Extremely happy,,Less than once a month,172.0,57.0,Female,1980.0
924579,5,9,,Several times a week,165.0,66.0,Female,1945.0
924595,8,9,,Several times a week,165.0,80.0,Female,1955.0
924600,9,6,,Several times a week,188.0,91.0,Male,1955.0
924618,7,9,,Once a week,180.0,81.0,Male,1977.0
924626,8,8,25.0,Once a month,168.0,85.0,Male,1942.0
924676,3,8,,Once a week,180.0,83.0,Male,1955.0
924692,7,5,,Once a week,163.0,58.0,Female,1980.0
924715,9,9,3.0,Once a week,167.0,95.0,Female,1985.0
924731,5,8,,Never,178.0,86.0,Male,1951.0
924781,9,Extremely happy,,Several times a week,178.0,75.0,Male,1973.0
924812,You can't be too careful,9,,Once a week,173.0,65.0,Female,1984.0
924846,8,9,,Less than once a month,168.0,68.0,Female,1972.0
924854,7,7,,Never,173.0,87.0,Male,1966.0
924862,7,8,,Once a month,178.0,82.0,Male,1980.0
924901,Most people can be trusted,Extremely happy,,Several times a week,164.0,70.0,Female,1957.0
924943,7,9,,2-3 times a month,185.0,82.0,Male,1998.0
924951,7,8,,Once a week,162.0,59.0,Female,1980.0
924969,8,5,20.0,Every day,176.0,76.0,Male,1957.0
924985,8,9,,Once a week,188.0,85.0,Male,1946.0
925038,8,7,,Several times a week,168.0,63.0,Female,1968.0
925046,7,9,10.0,Several times a week,169.0,74.0,Female,1960.0
925054,8,7,4.0,Once a month,170.0,66.0,Female,1975.0
925062,6,9,,Once a month,174.0,108.0,Male,1977.0
925088,4,Extremely happy,,Once a week,178.0,86.0,Female,1944.0
925096,6,9,,Less than once a month,179.0,78.6,Male,1996.0
925101,6,5,9.0,Once a week,176.0,83.0,Male,1990.0
925119,8,8,,Several times a week,168.0,57.0,Female,1971.0
925127,5,9,,Never,163.0,62.0,Female,1989.0
925143,4,8,,2-3 times a month,168.0,66.0,Female,1956.0
925169,7,7,,2-3 times a month,174.0,64.0,Male,1933.0
925177,5,Extremely happy,13.0,Every day,164.0,74.0,Female,1957.0
925185,9,9,,Once a month,167.0,54.0,Female,1974.0
925193,6,8,1.0,Once a week,189.0,75.0,Male,1996.0
925216,6,9,,Several times a week,168.0,102.0,Female,1958.0
925224,5,2,30.0,Less than once a month,173.0,58.0,Female,1967.0
925232,5,9,,Once a month,168.0,50.0,Male,1998.0
925240,8,9,,2-3 times a month,184.0,110.0,Male,1939.0
925258,7,7,,Once a week,179.0,99.0,Male,1967.0
925274,4,6,,2-3 times a month,174.0,89.0,Male,1955.0
925282,6,7,,Several times a week,163.0,59.0,Female,1938.0
925290,7,9,,Several times a week,177.0,90.0,Male,1951.0
925305,9,9,,Several times a week,180.0,86.0,Male,1947.0
925313,8,9,,Once a week,187.0,135.0,Male,1955.0
925355,3,8,,Less than once a month,175.0,82.0,Male,1962.0
925371,5,9,,,162.0,70.0,Female,1938.0
925397,8,9,,Several times a week,188.0,99.0,Male,1964.0
925402,Most people can be trusted,8,,2-3 times a month,166.0,56.0,Female,1976.0
925410,4,8,,Several times a week,156.0,60.0,Female,1969.0
925509,8,8,,Every day,170.0,65.0,Male,1968.0
925525,8,Extremely happy,,Every day,156.0,50.0,Female,1939.0
925533,5,Extremely happy,,Several times a week,190.0,95.0,Male,1984.0
925541,8,8,,Less than once a month,180.0,114.0,Male,1980.0
925559,7,Extremely happy,,Once a week,186.0,105.0,Male,1996.0
925567,6,Extremely happy,,2-3 times a month,152.0,76.0,Female,1937.0
925575,9,9,,Several times a week,158.0,57.0,Female,1939.0
925583,4,9,,Less than once a month,169.0,65.0,Female,1994.0
925591,7,9,,2-3 times a month,164.0,53.0,Female,1958.0
925606,8,9,14.0,Once a week,176.0,104.0,Male,1955.0
925614,5,9,,Never,168.0,102.0,Female,1971.0
925622,8,8,,Every day,157.0,70.0,Female,1946.0
925656,6,9,,Several times a week,168.0,67.0,Male,1966.0
925680,8,Extremely happy,,Several times a week,164.0,69.0,Female,1944.0
925703,8,5,,2-3 times a month,165.0,60.0,Female,1975.0
925745,7,8,20.0,Once a month,168.0,65.0,Female,1957.0
925753,7,7,0.0,Less than once a month,168.0,67.0,Female,1988.0
925761,8,9,,Less than once a month,188.0,77.0,Male,1987.0
925787,7,9,20.0,Less than once a month,175.0,80.0,Female,1949.0
925795,8,9,2.0,Once a week,178.0,85.0,Female,1964.0
925826,7,9,,2-3 times a month,171.0,64.0,Female,1989.0
925876,8,6,10.0,Several times a week,189.0,80.0,Male,1970.0
925884,5,9,,Never,173.0,81.0,Male,1990.0
925923,6,8,,Several times a week,177.0,79.0,Female,1964.0
925999,3,7,,Less than once a month,180.0,67.0,Male,1961.0
926026,9,9,,Once a week,167.0,63.0,Female,1976.0
926034,7,Extremely happy,20.0,Once a week,173.0,72.0,Male,1956.0
